episode_number,success_episode,failure_episode,episode_reward,episode_step
518,False,True,263,401
519,False,True,296,369
520,False,True,474,404
521,False,True,474,546
522,False,True,316,433
523,False,True,430,495
524,False,True,368,436
525,False,True,477,546
526,False,True,167,206
527,False,True,489,380
528,False,True,456,444
529,False,True,449,381
530,False,True,323,413
531,False,True,77,229
532,False,True,499,386
533,False,True,442,420
534,False,True,425,445
535,False,True,470,388
536,True,False,786,430
537,True,False,632,247
538,True,False,850,489
539,True,False,780,443
540,True,False,795,443
541,True,False,1156,413
542,False,True,609,364
543,False,True,631,380
544,False,True,166,201
545,False,True,357,337
546,False,True,239,241
547,False,True,1628,1000
548,True,False,917,472
549,False,True,298,386
550,False,True,804,709
551,True,False,902,481
552,True,False,927,450
553,True,False,813,449
554,True,False,911,476
555,False,True,784,831
556,False,True,999,1000
557,False,True,316,380
558,False,True,1130,1000
559,False,True,884,902
560,False,True,1110,1000
561,False,True,1157,1000
562,False,True,1385,1000
563,False,True,243,494
564,False,True,198,273
565,False,True,246,402
566,False,True,283,406
567,False,True,206,426
568,False,True,-23,231
569,False,True,664,614
570,False,True,148,364
571,True,False,783,482
572,False,True,1008,1000
573,False,True,1253,1000
574,True,False,894,496
575,False,True,177,342
576,False,True,211,436
577,False,True,1489,1000
578,False,True,1416,1000
579,False,True,1251,1000
580,False,True,1269,1000
581,False,True,262,415
582,False,True,1491,1000
583,False,True,400,352
584,False,True,1126,1000
585,False,True,1506,1000
586,False,True,1484,1000
587,False,True,1082,1000
588,False,True,234,389
589,False,True,1027,1000
590,False,True,203,385
591,False,True,1246,1000
592,False,True,1240,934
593,False,True,1089,1000
594,False,True,1214,1000
595,False,True,134,356
596,False,True,140,316
597,False,True,1146,1000
598,False,True,1259,1000
599,False,True,-19,194
600,False,True,1391,1000
601,False,True,291,532
602,False,True,1051,1000
603,False,True,118,350
604,False,True,-1,228
605,False,True,690,1000
606,False,True,110,375
607,False,True,480,649
608,False,True,180,345
609,False,True,999,1000
610,False,True,812,1000
611,False,True,826,1000
612,False,True,518,781
613,False,True,1040,1000
614,False,True,547,694
615,False,True,991,1000
616,False,True,999,1000
617,False,True,763,1000
618,False,True,1189,1000
619,False,True,996,1000
620,False,True,1020,1000
621,False,True,708,1000
622,False,True,810,1000
623,False,True,826,1000
624,False,True,919,1000
625,False,True,1043,1000
626,False,True,742,1000
627,False,True,716,1000
628,False,True,917,1000
629,False,True,841,1000
630,False,True,997,1000
631,False,True,748,1000
632,False,True,927,1000
633,False,True,973,1000
634,False,True,594,1000
635,False,True,1227,1000
636,False,True,648,1000
637,False,True,1209,1000
638,False,True,976,1000
639,False,True,778,1000
640,False,True,677,1000
641,False,True,604,1000
642,False,True,734,1000
643,False,True,707,1000
644,False,True,702,1000
645,False,True,587,1000
646,False,True,824,1000
647,False,True,771,1000
648,False,True,601,1000
649,False,True,798,1000
650,False,True,569,1000
651,False,True,888,1000
652,False,True,696,1000
653,False,True,384,789
654,False,True,672,1000
655,False,True,688,1000
656,False,True,562,1000
657,False,True,563,1000
658,False,True,1199,1000
659,False,True,799,1000
660,True,False,1089,760
661,False,True,1037,1000
662,False,True,942,1000
663,False,True,-14,227
664,False,True,787,845
665,False,True,990,1000
666,False,True,797,1000
667,True,False,1061,762
668,False,True,229,521
669,False,True,728,941
670,False,True,1126,1000
671,False,True,419,589
672,False,True,376,588
673,False,True,337,505
674,False,True,1089,1000
675,False,True,1061,1000
676,False,True,1160,1000
677,False,True,900,1000
678,False,True,623,624
679,False,True,1129,1000
680,False,True,814,1000
681,False,True,930,1000
682,False,True,801,1000
683,False,True,818,1000
684,False,True,923,1000
685,False,True,1101,1000
686,False,True,802,1000
687,False,True,873,1000
688,False,True,792,1000
689,False,True,787,1000
690,False,True,1151,1000
691,False,True,1079,1000
692,False,True,795,1000
693,False,True,661,966
694,False,True,1483,1000
695,False,True,1442,1000
696,False,True,894,1000
697,False,True,1223,1000
698,False,True,435,595
699,False,True,447,681
700,False,True,836,879
701,False,True,755,1000
702,False,True,1154,1000
703,False,True,1015,1000
704,False,True,994,1000
705,False,True,1012,1000
706,False,True,999,1000
707,False,True,-12,187
708,False,True,872,1000
709,False,True,1001,1000
710,False,True,955,1000
711,False,True,722,861
712,False,True,172,452
713,False,True,909,1000
714,False,True,1222,1000
715,False,True,1280,1000
716,False,True,1263,1000
717,False,True,1312,1000
718,False,True,1113,1000
719,False,True,1215,1000
720,False,True,1018,1000
721,False,True,1261,926
722,False,True,1012,1000
723,False,True,656,788
724,False,True,1203,1000
725,False,True,805,1000
726,False,True,983,1000
727,False,True,149,432
728,False,True,941,1000
729,True,False,1058,890
730,False,True,829,1000
731,False,True,1183,1000
732,False,True,981,1000
733,False,True,1033,1000
734,False,True,972,1000
735,False,True,1339,1000
736,False,True,970,1000
737,False,True,986,1000
738,False,True,1406,1000
739,False,True,1208,1000
740,False,True,614,1000
741,False,True,1025,1000
742,False,True,388,464
743,False,True,966,1000
744,False,True,1278,1000
745,False,True,266,479
746,False,True,1056,1000
747,False,True,979,1000
748,False,True,935,1000
749,True,False,726,549
750,False,True,998,1000
751,False,True,941,1000
752,False,True,1170,1000
753,False,True,1187,1000
754,True,False,1664,913
755,False,True,1010,1000
756,False,True,951,1000
757,True,False,1353,863
758,False,True,1011,1000
759,False,True,955,1000
760,False,True,925,1000
761,False,True,1002,1000
762,False,True,890,1000
763,False,True,1009,1000
764,False,True,902,1000
765,False,True,694,669
766,False,True,420,345
767,True,False,1251,369
768,False,True,561,620
769,False,True,639,632
770,False,True,494,372
771,False,True,914,724
772,False,True,716,402
773,True,False,1294,357
774,False,True,638,722
775,True,False,1136,361
776,False,True,612,403
777,False,True,141,402
778,False,True,144,402
779,False,True,132,374
780,False,True,281,321
781,False,True,531,574
782,False,True,438,551
783,False,True,341,338
784,True,False,1235,378
785,True,False,1079,402
786,False,True,409,356
787,False,True,412,439
788,True,False,1354,477
789,True,False,1061,370
790,False,True,570,557
791,False,True,445,357
792,False,True,428,360
793,False,True,337,361
794,False,True,552,607
795,True,False,1326,473
796,False,True,488,584
797,True,False,1177,412
798,False,True,727,722
799,True,False,1289,429
800,True,False,1119,385
801,True,False,1094,406
802,False,True,434,348
803,False,True,593,641
804,True,False,1345,462
805,False,True,770,697
806,True,False,1247,399
807,True,False,927,438
808,True,False,652,197
809,False,True,662,682
810,True,False,1290,504
811,False,True,574,399
812,False,True,370,340
813,True,False,1125,360
814,False,True,556,401
815,True,False,921,450
816,False,True,597,583
817,False,True,550,623
818,False,True,551,392
819,False,True,633,593
820,False,True,820,759
821,False,True,550,413
822,True,False,1009,388
823,False,True,512,596
824,True,False,1371,371
825,False,True,691,610
826,False,True,491,568
827,False,True,409,591
828,False,True,475,576
829,False,True,483,611
830,False,True,594,585
831,False,True,482,585
832,False,True,487,607
833,False,True,508,427
834,False,True,446,429
835,False,True,506,426
836,False,True,506,394
837,False,True,354,377
838,False,True,24,209
839,False,True,236,435
840,False,True,1287,1000
841,False,True,263,401
842,False,True,296,369
843,False,True,474,404
844,False,True,474,546
845,False,True,316,433
846,False,True,430,495
847,False,True,368,436
848,False,True,477,546
849,False,True,167,206
850,False,True,489,380
851,False,True,456,444
852,False,True,449,381
853,False,True,323,413
854,False,True,77,229
855,False,True,499,386
856,False,True,442,420
857,False,True,425,445
858,False,True,470,388
859,True,False,786,430
860,True,False,632,247
861,True,False,850,489
862,True,False,780,443
863,True,False,795,443
864,True,False,1156,413
865,False,True,609,364
866,False,True,631,380
867,False,True,166,201
868,False,True,357,337
869,False,True,239,241
870,False,True,1628,1000
871,True,False,917,472
872,False,True,298,386
873,False,True,804,709
874,True,False,902,481
875,True,False,927,450
